	Factor 1	Factor 2	Index 1	Index 2	Result
22	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	5	0	24.405094782855024
23	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	6	0	23.75179961756904
24	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	7	0	23.23286882217351
25	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	8	0	22.820667439522914
26	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	9	0	22.49324424289116
27	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	10	0	22.233162753102874
28	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
29	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	2	0	27.940236832447724
30	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	3	0	27.291466709533964
31	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	4	0	26.302054179187678
32	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	4	18.66793923840588
33	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	4	17.026935976953197
34	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	4	15.723440753106713
35	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	5	4	13.865587807996395
36	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	6	4	13.21229264271041
37	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	7	4	12.693361847314884
38	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	8	4	12.281160464664293
39	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	9	4	11.953737268032533
40	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	10	4	11.69365577824425
41	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	3	28.201902150216217
42	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	0	10.497245135935003
43	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	1	30.705207337323298
44	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	1	28.421994387551305
45	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	1	25.537237855326218
46	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	1	21.987602462514392
47	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
48	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
49	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
50	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
51	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	0	7.265653516301858
52	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	8	4	12.777438324938213
53	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
54	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	1	0	30.90368867060617
55	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	2	0	30.61005868595808
56	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	3	0	30.37682009859045
57	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	4	0	30.191552103217123
58	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	5	0	30.04438850350133
59	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	6	0	29.927492301123408
60	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	7	0	29.83463834704259
61	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	8	0	29.760881829610394
62	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	9	0	29.70229494531907
63	TCS @ Installation Cost Factor	TCS @ MG Si Scrap Rate	10	0	29.65575772894195
64	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	0	9	16.144582070011538
65	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	9	9.660191252132831
66	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	9	8.698606194578158
67	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	9	8.39137212457706
68	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	9	8.197469612112172
69	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	9	8.075212455573965
70	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	9	7.998073404740916
71	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	9	7.949401954071575
72	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	9	7.918692344805247
73	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	0	7	7.265653516301862
74	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	5	5.0835662895972265
75	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	4	6.958767126827762
76	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	3	11.161490569504744
77	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	0	5	16.171889761483797
78	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	1	5	17.42565227891242
79	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	5	19.532054474511703
80	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	5	23.64313796393413
81	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
82	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	0	7.265653516301858
83	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	6	8.43134442925511
84	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	6	6.790341167802431
85	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	6	5.486845943955942
86	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	2	26.565250334333058
87	Etch Filaments @ Fraction Virgin Filament	Ingot Growth @ Poly Si Material Scrap Rate	9	6	17.016202750226306
88	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	0	10.497245135935003
89	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
90	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
91	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
92	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
93	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
94	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	4	10.12608750937523
95	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	0	10.497245135935003
96	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
97	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
98	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
99	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
100	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
101	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	3	11.161490569504744
102	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	0	27.79241211170617
103	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	0	26.09455606344935
104	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	0	24.788956102065683
105	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	0	23.827371044511015
106	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	0	23.52013697450991
107	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	0	23.326234462045022
108	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	0	23.203977305506807
109	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	0	23.12683825467377
110	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	0	23.078166804004425
111	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	0	23.0474571947381
112	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	0	27.79241211170617
113	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	0	26.09455606344935
114	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	1	26.04271861949431
115	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	1	25.081133561939634
116	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	1	24.773899491938533
117	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	1	24.57999697947365
118	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	1	24.457739822935448
119	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	1	24.380600772102394
120	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	1	24.33192932143305
121	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	1	24.301219712166723
122	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	2	6	7.156294468152762
123	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	3	6	6.504767284618519
124	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	4	6	5.513164743176549
125	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	5	2	28.779095755308706
126	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	6	2	28.454986290814876
127	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	7	2	28.197725542670174
128	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	8	2	27.45956599248712
129	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	9	2	27.29742386642195
130	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	10	2	27.16868191161004
131	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	6	8.43134442925511
132	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	6	6.790341167802431
133	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	6	5.486845943955942
134	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	0	9	16.144582070011538
135	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	9	19.20467489945984
136	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	7	6.675998748701212
137	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	7	10.787082238123642
138	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	7	21.80317461842453
139	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	9	5.066180751826416
140	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	7	14.009117925984269
141	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	6	8.43134442925511
142	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	6	6.790341167802431
143	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	6	5.486845943955942
144	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	4	5.9223304598258535
145	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
146	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
147	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
148	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
149	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
150	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	4	5.9223304598258535
151	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
152	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
153	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
154	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
155	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	7	8.13141166371292
156	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
157	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
158	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
159	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	9	5.066180751826416
160	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	5	9.7864347785276
161	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	0	29.207446213264515
162	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	0	27.56644295181183
163	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	0	26.26294772796534
164	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	5	0	24.405094782855024
165	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	6	0	23.75179961756904
166	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	7	0	23.23286882217351
167	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	8	0	22.820667439522914
168	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	9	0	22.49324424289116
169	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	10	0	22.233162753102874
170	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
171	Siemens CVD @ Hydrogen Consumption Rate	Etch Filaments @ Fraction Virgin Filament	5	0	28.82157784281497
172	Siemens CVD @ Hydrogen Consumption Rate	Etch Filaments @ Fraction Virgin Filament	6	0	28.58837020097014
173	Siemens CVD @ Hydrogen Consumption Rate	Etch Filaments @ Fraction Virgin Filament	7	0	28.403126786499325
174	Siemens CVD @ Hydrogen Consumption Rate	Etch Filaments @ Fraction Virgin Filament	8	0	28.255982712088414
175	Siemens CVD @ Hydrogen Consumption Rate	Etch Filaments @ Fraction Virgin Filament	9	0	28.139102019211467
176	Siemens CVD @ Hydrogen Consumption Rate	Etch Filaments @ Fraction Virgin Filament	10	0	28.046260384765173
177	Siemens CVD @ Hydrogen Consumption Rate	TCS @ MG Si Scrap Rate	1	0	30.53587960395793
178	Siemens CVD @ Hydrogen Consumption Rate	TCS @ MG Si Scrap Rate	2	0	29.95008849268355
179	Siemens CVD @ Hydrogen Consumption Rate	TCS @ MG Si Scrap Rate	3	0	29.484778073347808
180	Siemens CVD @ Hydrogen Consumption Rate	TCS @ MG Si Scrap Rate	4	0	29.11516886935802
181	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	7	6.675998748701212
182	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	7	10.787082238123642
183	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	7	21.80317461842453
184	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
185	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	5	5.545111733281576
186	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
187	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
188	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	3	6.010515966406338
189	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	4	6.823742102009
190	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	2	0	27.940236832447724
191	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	3	0	27.291466709533964
192	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	4	0	26.302054179187678
193	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	0	9	16.144582070011538
194	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	1	9	14.104208281339593
195	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	5	9	10.290166192347947
196	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	6	9	9.966056727854124
197	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	7	9	9.708795979709413
198	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	8	9	8.970636429526365
199	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	9	9	8.808494303461195
200	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	10	9	8.679752348649277
201	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	0	29.207446213264515
202	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	0	27.56644295181183
203	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	0	26.26294772796534
204	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	5	0	24.40509478285502
205	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	6	0	23.75179961756904
206	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	7	0	23.23286882217351
207	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	8	0	22.820667439522914
208	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	9	0	22.49324424289116
209	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	10	0	22.233162753102874
210	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	3	6.855351661137467
211	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
212	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	0	7	7.265653516301861
213	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	7	5.443751416252151
214	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	6	8.650342459108444
215	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
216	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
217	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	4	16.996757395440987
218	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	0	7.265653516301858
219	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	4	6.823742102009
220	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	2	5	12.833092621386971
221	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	3	5	12.182322704044807
222	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	4	5	11.191321680520403
223	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	0	8	13.35382430428654
224	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	1	8	11.313450515614596
225	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	5	8	7.4994084266229475
226	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	6	8	7.175298962129128
227	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	7	8	6.918038213984412
228	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	8	8	6.1798786638013645
229	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	9	8	6.017736537736196
230	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	10	8	5.888994582924278
231	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	2	6	7.156294468152762
232	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	3	6	6.504767284618519
233	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	4	6	5.513164743176549
234	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	1	1	30.486735648701078
235	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	5	1	26.672693559709426
236	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	6	1	26.348584095215603
237	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	7	1	26.09132334707089
238	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	8	1	25.353163796887845
239	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	9	1	25.19102167082268
240	Ingot Growth @ Ingot Length	TCS @ MG Si Scrap Rate	10	1	25.06227971601076
241	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	2	26.565250334333058
242	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	8	12.777438324938213
243	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	10	7.975346745654492
244	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	5	5.545111733281576
245	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	8	15.493981672616401
246	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	0	10.497245135935003
247	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
248	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	3	28.205088147536106
249	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	3	11.161490569504744
250	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	0	7	7.2656535163018585
251	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	1	7	7.029915663747064
252	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	2	7	6.842662431469523
253	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	3	7	6.6939219020280865
254	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	4	7	6.5757730998449135
255	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	5	7	6.481924170371967
256	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	6	7	6.4073773158929574
257	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	7	7	6.348162644570398
258	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	8	7	6.301126759228972
259	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	9	7	6.263764827457023
260	Harvest Chunk @ Capital Investment	TCS @ MG Si Scrap Rate	10	7	6.234087190146721
261	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
262	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	0	7	7.265653516301861
263	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	7	5.443751416252151
264	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	5	9.30363762439443
265	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	0	3	24.283475337897602
266	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	1	3	25.537237855326218
267	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	3	27.643640050925498
268	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	3	9.154710487964746
269	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	3	10.723199087635317
270	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
271	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	0	7.265653516301858
272	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	0	7	7.265653516301862
273	Siemens CVD @ Batch Size	Etch Filaments @ Fraction Virgin Filament	2	0	28.208404644605704
274	Siemens CVD @ Batch Size	Etch Filaments @ Fraction Virgin Filament	3	0	27.63145344514687
275	Siemens CVD @ Batch Size	Etch Filaments @ Fraction Virgin Filament	4	0	26.69843224383525
276	Siemens CVD @ Batch Size	Etch Filaments @ Fraction Virgin Filament	5	0	25.859668073606624
277	Siemens CVD @ Batch Size	TCS @ MG Si Scrap Rate	0	9	16.144582070011538
