Section	Column	Value
Anneal Ingots	Average Downtime	0.15
Anneal Ingots	Furnace Capacity	40.0
Anneal Ingots	Unskilled Direct Laborers Factor	2.0
Anneal Ingots	Skilled Direct Laborers Factor	0.6
Anneal Ingots	Capital Investment	400000.0
Anneal Ingots	Auxiliary Equipment Investment	0.1
Anneal Ingots	Installation Cost Factor	0.25
Anneal Ingots	Equipment Maintenance Cost Factor	0.03
Anneal Ingots	Tooling Investment	150000.0
Anneal Ingots	Tooling Life	150000000.0
Anneal Ingots	Operating Power Consumption	5000.0
Anneal Ingots	Floor SQM	0.0
Anneal Ingots	Clean 10k SQM	625.0
Anneal Ingots	Clean 1k SQM	0.0
Anneal Ingots	Clean 100 SQM	0.0
Ingot Growth	In Use?	1.0
Ingot Growth	Poly-Si Material Price	15.0
Ingot Growth	Poly Si Material Scrap Rate	0.25
Ingot Growth	Si Seed Price	100.0
Ingot Growth	Si Seed Life	1.0
Ingot Growth	Crucible Cost	700.0
Ingot Growth	Crucible Life	1.0
Ingot Growth	Cooling Water Cons Rate	850.0
Ingot Growth	Water Price	0.2
Ingot Growth	Argon Consumption Rate	100.0
Ingot Growth	Argon Price	0.5
Ingot Growth	Part Reject Rate	0.01
Ingot Growth	Average Downtime	0.1
Ingot Growth	Unskilled Direct Laborers Factor	0.75
Ingot Growth	Skilled Direct Laborers Factor	0.225
Ingot Growth	Ingot Length	500.0
Ingot Growth	Ingot Weight (tops and tails)	0.2
Ingot Growth	As Grown Ingot Diameter	153.0
Ingot Growth	Final Ingot Diameter	150.0
Ingot Growth	Setup (Load) Time	5.0
Ingot Growth	Pump Down and Leak Check	5.0
Ingot Growth	Melt/Stabilize	14.0
Ingot Growth	Average Pull Speed	75.0
Ingot Growth	Cool and Unload	12.0
Ingot Growth	Clean	6.0
Ingot Growth	Capital Investment	600000.0
Ingot Growth	Auxiliary Equipment Investment	1.0
Ingot Growth	Installation Cost Factor	0.25
Ingot Growth	Equipment Maintenance Cost Factor	0.03
Ingot Growth	Tooling Investment	0.0
Ingot Growth	Tooling Life	20000.0
Ingot Growth	Operating Power Consumption	40.0
Ingot Growth	Full Power Consumption	100.0
Ingot Growth	Floor SQM	30.0
Ingot Growth	Clean 10k SQM	0.0
Ingot Growth	Clean 1k SQM	0.0
Ingot Growth	Clean 100 SQM	0.0
TCS	MG Si Usage Factor	1.2129103540000001
TCS	MG Si Price	5.0
TCS	MG Si Scrap Rate	0.3
TCS	HCl Usage Factor	1.04003648
TCS	HCl Price	0.1
TCS	HCl Scrap Rate	0.1
TCS	Hydrogen Usage Factor	1.0
TCS	Hydrogen Price	0.001
TCS	Other Material Scrap Rate	0.0
TCS	Average Downtime	0.0
TCS	Unskilled Direct Laborers Factor	10.0
TCS	Skilled Direct Laborers Factor	5.0
TCS	Auxiliary Equipment Investment	0.0
TCS	Installation Cost Factor	3.3
TCS	Equipment Maintenance Cost Factor	0.03
TCS	Tooling Investment	0.0
TCS	Tooling Life	20000000.0
TCS	Operating Power Consumption	40.0
TCS	Full Power Consumption	100.0
TCS	Clean 10k SQM	0.0
TCS	Clean 1k SQM	0.0
TCS	Clean 100 SQM	0.0
