Technology	Scenario	Parameter	Offset	Value	Units	Notes
Residential PV	BoS Slow Progress	Hardware Capital	16	st.triang(0.5, loc=78, scale=1)	$/m^2	BCC
Residential PV	BoS Slow Progress	Direct Labor	17	st.triang(0.5, loc=1800, scale=100)	$/system	BLR
Residential PV	BoS Slow Progress	Permitting	18	st.triang(0.5, loc=570, scale=10)	$/system	BPR
Residential PV	BoS Slow Progress	Customer Acquisition	19	st.triang(0.5, loc=1900, scale=50)	$/system	BCA
Residential PV	BoS Slow Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.34, scale=0.005)	1	BOH
Residential PV	Module Fast Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	Module Fast Progress	Insolation	1	1000	W/m^2	INS
Residential PV	Module Fast Progress	System Size	2	36	m^2	SSZ
Residential PV	Module Fast Progress	Module Capital	3	st.triang(0.5, loc=70, scale=10)	$/m^2	MCC
Residential PV	Module Fast Progress	Module Lifetime	4	st.triang(0.5, loc=28, scale=3)	yr	MLT
Residential PV	Module Fast Progress	Module Efficiency	5	st.triang(0.8, loc=0.2, scale=0.01)	1	MEF
Residential PV	Module Fast Progress	Module Aperture	6	st.triang(0.67, loc=0.93, scale=0.01)	1	MAP
Residential PV	Module Fast Progress	Module O&M Fixed	7	st.triang(0.5, loc=15, scale=1)	$/kWyr	MOM
Residential PV	Module Fast Progress	Module Degradation	8	st.triang(0.5, loc=0.006, scale=0.0005)	1/yr	MDR
Residential PV	Module Fast Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=0.0001)	1	MCF
Residential PV	Module Fast Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=10E-06)	1	MSL
Residential PV	Module Fast Progress	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	Module Fast Progress	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	Module Fast Progress	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	Module Fast Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	Module Fast Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	Module Fast Progress	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	Module Fast Progress	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	Module Fast Progress	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	Module Fast Progress	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	Module Fast Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	Inverter Fast Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	Inverter Fast Progress	Insolation	1	1000	W/m^2	INS
Residential PV	Inverter Fast Progress	System Size	2	36	m^2	SSZ
Residential PV	Inverter Fast Progress	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	Inverter Fast Progress	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	Inverter Fast Progress	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	Inverter Fast Progress	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	Inverter Fast Progress	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	Inverter Fast Progress	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	Inverter Fast Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	Inverter Fast Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	Inverter Fast Progress	Inverter Capital	11	st.triang(0.5, loc=0.1, scale=0.05)	$/W	ICC
Residential PV	Inverter Fast Progress	Inverter Lifetime	12	st.triang(0.5, loc=20, scale=2)	yr	ILT
Residential PV	Inverter Fast Progress	Inverter Replacement	13	st.triang(0.5, loc=0.3, scale=0.1)	1	IRC
Residential PV	Inverter Fast Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.92, scale=0.01)	1	IEF
Residential PV	Inverter Fast Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=10E-05)	1	IDC
Residential PV	Inverter Fast Progress	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	Inverter Fast Progress	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	Inverter Fast Progress	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	Inverter Fast Progress	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	Inverter Fast Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	BoS Fast Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	BoS Fast Progress	Insolation	1	1000	W/m^2	INS
Residential PV	BoS Fast Progress	System Size	2	36	m^2	SSZ
Residential PV	BoS Fast Progress	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	BoS Fast Progress	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	BoS Fast Progress	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	BoS Fast Progress	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	BoS Fast Progress	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	BoS Fast Progress	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	BoS Fast Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	BoS Fast Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	BoS Fast Progress	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	BoS Fast Progress	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	BoS Fast Progress	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	BoS Fast Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	BoS Fast Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	BoS Fast Progress	Hardware Capital	16	st.triang(0.5, loc=71, scale=2)	$/m^2	BCC
Residential PV	BoS Fast Progress	Direct Labor	17	st.triang(0.5, loc=1400, scale=200)	$/system	BLR
Residential PV	BoS Fast Progress	Permitting	18	st.triang(0.5, loc=530, scale=10)	$/system	BPR
Residential PV	BoS Fast Progress	Customer Acquisition	19	st.triang(0.5, loc=1700, scale=100)	$/system	BCA
Residential PV	BoS Fast Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.31, scale=0.02)	1	BOH
