Technology,Scenario,Sample,Variable,Index,Value,Units
Residential PV,2015 Actual,16,Metric,LCOE,-1.8490132066006915e-06,Δ$/kWh
Residential PV,2015 Actual,16,Metric,Labor,-0.04294635001451752,Δ$/system
Residential PV,2015 Actual,16,Output,Electricity,184094.13679383646,kWh
Residential PV,2015 Actual,17,Cost,Cost,19539.65625418971,$/system
Residential PV,2015 Actual,17,Metric,GHG,-0.003500028054773452,ΔgCO2e/system
Residential PV,2015 Actual,17,Metric,LCOE,-9.27966453004303e-06,Δ$/kWh
Residential PV,2015 Actual,17,Metric,Labor,0.05362876860431243,Δ$/system
Residential PV,2015 Actual,17,Output,Electricity,184103.15984572365,kWh
Residential PV,2015 Actual,18,Cost,Cost,19539.281517963853,$/system
Residential PV,2015 Actual,18,Metric,GHG,-0.0006552904428360762,ΔgCO2e/system
Residential PV,2015 Actual,18,Metric,LCOE,-3.592349534356498e-06,Δ$/kWh
Residential PV,2015 Actual,18,Metric,Labor,0.06636406640177483,Δ$/system
Residential PV,2015 Actual,18,Output,Electricity,184109.49476849046,kWh
Residential PV,2015 Actual,19,Cost,Cost,19537.249832668756,$/system
Residential PV,2015 Actual,19,Metric,GHG,-0.003209088430224938,ΔgCO2e/system
Residential PV,2015 Actual,19,Metric,LCOE,4.164842684450942e-06,Δ$/kWh
Residential PV,2015 Actual,19,Metric,Labor,0.06531869252148681,Δ$/system
Residential PV,2015 Actual,19,Output,Electricity,184103.80773677822,kWh
Residential PV,2015 Actual,20,Cost,Cost,19539.281596159184,$/system
Residential PV,2015 Actual,20,Metric,GHG,-0.004241794807114729,ΔgCO2e/system
Residential PV,2015 Actual,20,Metric,LCOE,-8.196882580469023e-06,Δ$/kWh
Residential PV,2015 Actual,20,Metric,Labor,-0.0503066731562285,Δ$/system
Residential PV,2015 Actual,20,Output,Electricity,184101.50801144997,kWh
Residential PV,2015 Actual,21,Cost,Cost,19540.005096312245,$/system
Residential PV,2015 Actual,21,Metric,GHG,-0.007600797108750612,ΔgCO2e/system
Residential PV,2015 Actual,21,Metric,LCOE,-1.643935934962648e-05,Δ$/kWh
Residential PV,2015 Actual,21,Metric,Labor,-0.05455404612189341,Δ$/system
Residential PV,2015 Actual,21,Output,Electricity,184094.0278768797,kWh
Residential PV,2015 Actual,22,Cost,Cost,19540.87895897042,$/system
Residential PV,2015 Actual,22,Metric,GHG,-0.013957940651962986,ΔgCO2e/system
Residential PV,2015 Actual,22,Metric,LCOE,-2.934936432960611e-05,Δ$/kWh
Residential PV,2015 Actual,22,Metric,Labor,0.019921877043998393,Δ$/system
Residential PV,2015 Actual,22,Output,Electricity,184079.87120626282,kWh
Residential PV,2015 Actual,23,Cost,Cost,19540.75321586011,$/system
Residential PV,2015 Actual,23,Metric,GHG,-0.0044558342159177755,ΔgCO2e/system
Residential PV,2015 Actual,23,Metric,LCOE,-1.6465208359101036e-05,Δ$/kWh
Residential PV,2015 Actual,23,Metric,Labor,0.0148594268459874,Δ$/system
Residential PV,2015 Actual,23,Output,Electricity,184101.03136885274,kWh
Residential PV,2015 Actual,24,Cost,Cost,19540.15390472663,$/system
Residential PV,2015 Actual,24,Metric,GHG,-0.003278806718256533,ΔgCO2e/system
Residential PV,2015 Actual,24,Metric,LCOE,-1.1698763590764494e-05,Δ$/kWh
Residential PV,2015 Actual,24,Metric,Labor,0.044214959142664156,Δ$/system
