,Parameter,Case,TaxCreditCase,CRPYears,Technology,DisplayName,Scenario,variable,value,Reference,Type of Evidence,Escalation Index,Zotero_Key,Summary,Bib_HTML
35,CF,R&D,None,20,Nuclear,Nuclear - Small,Conservative,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
36,CF,R&D,None,20,Nuclear,Nuclear - Microreactor,Advanced,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
37,CF,R&D,None,20,Nuclear,Nuclear - Microreactor,Moderate,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
38,CF,R&D,None,20,Nuclear,Nuclear - Microreactor,Conservative,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
39,OCC,R&D,None,20,Nuclear,Nuclear - Large,Advanced,2030,5250.0,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Bottom-up analysis: Modeled,"CPI-U BLS, 2025",PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
40,OCC,R&D,None,20,Nuclear,Nuclear - Large,Moderate,2030,5750.0,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Bottom-up analysis: Modeled,"CPI-U BLS, 2025",PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
41,OCC,R&D,None,20,Nuclear,Nuclear - Large,Conservative,2030,8000.0,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Bottom-up analysis: Modeled,"CPI-U BLS, 2025",PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
42,OCC,R&D,None,20,Nuclear,Nuclear - Small,Advanced,2030,5750.0,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Bottom-up analysis: Modeled,"CPI-U BLS, 2025",PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
43,OCC,R&D,None,20,Nuclear,Nuclear - Small,Moderate,2030,7750.0,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Bottom-up analysis: Modeled,"CPI-U BLS, 2025",PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
44,OCC,R&D,None,20,Nuclear,Nuclear - Small,Conservative,2030,10250.0,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Bottom-up analysis: Modeled,"CPI-U BLS, 2025",PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
45,OCC,R&D,None,20,Nuclear,Nuclear - Microreactor,Advanced,2030,13750.0,"Al-Dawood, Khaldoon, Botros Hanna, Sai Balla, Rodrigo de Oliveira, Samuel Garcia, Dan McCarthy, Chandrakanth Bolisetti, Ben Lindley, and Abdalla Abou-Jaoude. “Open-Source Microreactor Design Models for Technoeconomic Assessment.” SSRN Scholarly Paper. Rochester, NY: Social Science Research Network, March 3, 2025. https://doi.org/10.2139/ssrn.5163464.",Bottom-up analysis: Modeled,N/A,42QRIJ7V,"Al-Dawood et al., 2025","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Al-Dawood, Khaldoon, Botros Hanna, Sai Balla, Rodrigo de Oliveira, Samuel Garcia, Dan McCarthy, Chandrakanth Bolisetti, Ben Lindley, and Abdalla Abou-Jaoude. &#x201C;Open-Source Microreactor Design Models for Technoeconomic Assessment.&#x201D; SSRN Scholarly Paper. Rochester, NY: Social Science Research Network, March 3, 2025. https://doi.org/10.2139/ssrn.5163464.</div> </div>"
46,OCC,R&D,None,20,Nuclear,Nuclear - Microreactor,Moderate,2030,18750.0,"Al-Dawood, Khaldoon, Botros Hanna, Sai Balla, Rodrigo de Oliveira, Samuel Garcia, Dan McCarthy, Chandrakanth Bolisetti, Ben Lindley, and Abdalla Abou-Jaoude. “Open-Source Microreactor Design Models for Technoeconomic Assessment.” SSRN Scholarly Paper. Rochester, NY: Social Science Research Network, March 3, 2025. https://doi.org/10.2139/ssrn.5163464.",Bottom-up analysis: Modeled,N/A,42QRIJ7V,"Al-Dawood et al., 2025","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Al-Dawood, Khaldoon, Botros Hanna, Sai Balla, Rodrigo de Oliveira, Samuel Garcia, Dan McCarthy, Chandrakanth Bolisetti, Ben Lindley, and Abdalla Abou-Jaoude. &#x201C;Open-Source Microreactor Design Models for Technoeconomic Assessment.&#x201D; SSRN Scholarly Paper. Rochester, NY: Social Science Research Network, March 3, 2025. https://doi.org/10.2139/ssrn.5163464.</div> </div>"
47,OCC,R&D,None,20,Nuclear,Nuclear - Microreactor,Conservative,2030,23750.0,"Al-Dawood, Khaldoon, Botros Hanna, Sai Balla, Rodrigo de Oliveira, Samuel Garcia, Dan McCarthy, Chandrakanth Bolisetti, Ben Lindley, and Abdalla Abou-Jaoude. “Open-Source Microreactor Design Models for Technoeconomic Assessment.” SSRN Scholarly Paper. Rochester, NY: Social Science Research Network, March 3, 2025. https://doi.org/10.2139/ssrn.5163464.",Bottom-up analysis: Modeled,N/A,42QRIJ7V,"Al-Dawood et al., 2025","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Al-Dawood, Khaldoon, Botros Hanna, Sai Balla, Rodrigo de Oliveira, Samuel Garcia, Dan McCarthy, Chandrakanth Bolisetti, Ben Lindley, and Abdalla Abou-Jaoude. &#x201C;Open-Source Microreactor Design Models for Technoeconomic Assessment.&#x201D; SSRN Scholarly Paper. Rochester, NY: Social Science Research Network, March 3, 2025. https://doi.org/10.2139/ssrn.5163464.</div> </div>"
48,GCC,R&D,None,20,Nuclear,Nuclear - Large,Advanced,2030,104.12,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
49,GCC,R&D,None,20,Nuclear,Nuclear - Large,Moderate,2030,104.12,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
50,GCC,R&D,None,20,Nuclear,Nuclear - Large,Conservative,2030,104.12,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
51,GCC,R&D,None,20,Nuclear,Nuclear - Small,Advanced,2030,104.12,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
52,GCC,R&D,None,20,Nuclear,Nuclear - Small,Moderate,2030,104.12,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
53,GCC,R&D,None,20,Nuclear,Nuclear - Small,Conservative,2030,104.12,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
54,GCC,R&D,None,20,Nuclear,Nuclear - Microreactor,Advanced,2030,0.0,"Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. “Generator Interconnection Costs to the Transmission System.” Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.",Empirical Market Data,"CPI-U BLS, 2025",EQ6U4ANB,"Seel et al., 2023","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Seel, Joachim, Julie Mulvaney Kemp, Joseph Rand, Will Gorman, Dev Millstein, Fritz Kahrl, and Ryan H. Wiser. &#x201C;Generator Interconnection Costs to the Transmission System.&#x201D; Lawrence Berkeley National Laboratory, 2023. https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_interconnection_cost_webinar.pdf.</div> </div>"
